Date,forecast,forecast_lower,forecast_upper,unique_id
2012-08-10,46225.61628779451,45194.57348887991,46593.76834714757,1-2
2012-08-17,43078.48612714318,43020.46927433917,46947.105746299494,1-2
2012-08-24,45159.433603379985,41610.94832385337,47589.007969766586,1-2
2012-08-31,44068.788107938504,42328.74928166291,44299.29498194727,1-2
2012-09-07,48848.347230859945,48101.722380736814,49633.527253101,1-2
2012-09-14,40323.493670678625,36160.00097805401,46115.26179866896,1-2
2012-09-21,41735.00061510293,39978.81556644965,42382.55883710354,1-2
2012-09-28,41120.06719927753,40005.49267571033,41241.786625894456,1-2
2012-10-05,42021.01941718785,41870.39067522792,44433.94607847542,1-2
2012-10-12,42244.471616274626,41513.3906023543,43488.43143762901,1-2
2012-08-10,39204.69823077005,38360.71380071394,39714.15162301938,1-4
2012-08-17,35242.19756716157,35083.04741136536,37079.92019312584,1-4
2012-08-24,36278.6860232966,36243.00744204954,38047.440184821084,1-4
2012-08-31,35868.13707670979,35111.97575250344,36107.61016662906,1-4
2012-09-07,39023.85949193014,38864.15522831256,39662.835051267364,1-4
2012-09-14,31855.677519212906,30963.457576796514,36224.3273208652,1-4
2012-09-21,32751.05600171201,32745.683573478374,34343.448268258304,1-4
2012-09-28,33412.31359287122,32288.920855899414,33498.26964101245,1-4
2012-10-05,36224.41256593157,35944.196297479226,36503.28542907746,1-4
2012-10-12,34680.611159672866,34576.04365197837,34801.198962316405,1-4
2012-08-10,36712.81700720376,35871.50202934483,36870.14977973267,1-8
2012-08-17,35713.14115634314,35659.76832478308,37075.41915219262,1-8
2012-08-24,35719.65604190741,34856.72337920859,36063.75417803107,1-8
2012-08-31,37004.36971660873,36321.409117064366,37004.36971660873,1-8
2012-09-07,38986.55540097013,38747.95329233429,40083.627490802246,1-8
2012-09-14,34051.28067460426,32958.4500146782,36067.144219591515,1-8
2012-09-21,35494.244241951696,34884.396111161914,36024.180369711474,1-8
2012-09-28,36183.784841511755,35992.29598552555,36393.8190163118,1-8
2012-10-05,37816.06452885615,37678.4850216322,38377.919022189904,1-8
2012-10-12,37355.66681013937,37094.35439013882,37770.145832113994,1-8
2012-08-10,31942.12733447808,31076.79615568531,32590.709936053674,1-10
2012-08-17,27818.532854165605,27422.524106275636,30278.141921333226,1-10
2012-08-24,30252.57850795951,30075.43759563779,35640.17806814344,1-10
2012-08-31,31488.118279982853,30922.907862173266,32407.525351139157,1-10
2012-09-07,33106.7253448008,31524.66000069311,33610.12515521421,1-10
2012-09-14,28668.041179323416,26037.02305391968,31815.59036182209,1-10
2012-09-21,27232.68803287508,26760.16664762953,27588.892464397053,1-10
2012-09-28,28919.780961853015,28422.794646772818,29687.09563864997,1-10
2012-10-05,29475.174173754374,29213.431613299734,30101.034650073405,1-10
2012-10-12,28519.244545494395,28425.055958566958,29084.82569881346,1-10
2012-08-10,40455.56294946235,39943.66188861503,40600.4140538594,1-13
2012-08-17,37718.29308866718,37620.403083362035,39817.235551659716,1-13
2012-08-24,38617.789428533855,37013.59667308828,40553.167811106825,1-13
2012-08-31,39452.90763582447,39392.919013779494,40286.8530255595,1-13
2012-09-07,42996.82555959771,42337.020932662184,43049.18498271215,1-13
2012-09-14,36514.28384023119,35368.9454314988,38644.30527447555,1-13
2012-09-21,37230.44145460552,37086.67411745034,37624.59181635553,1-13
